rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
1,216593,Masjid Agung,BGE-M3,Masjid Agung,Unnamed Road Sumbersari Ngepeh Kec Loceret Kabupaten Nganjuk Jawa Timur 64471 Indonesia,JAWA TIMUR,NGANJUK,BERBEK,masjid,4.4,0.764948
2,142711,Masjid Agung,BGE-M3,Masjid Agung, Karangsari Kec Pulosari Kabupaten Pemalang Jawa Tengah 52355 Indonesia,JAWA TENGAH,PEMALANG,PULOSARI,masjid,46.0,0.764948
3,107381,Masjid Agung,BGE-M3,Masjid Agung, Jl Raya Timur Wanadadi Kayanan Banjarmangu Kec Banjarmangu Kab Banjarnegara Jawa Tengah 53452 Indonesia,JAWA TENGAH,BANJARNEGARA,BANJARMANGU,masjid,5.0,0.764948
4,56290,Masjid Agung,BGE-M3,MASJID AGUNG,Jl Masjid Cilimus Kec Cilimus Kabupaten Kuningan Jawa Barat 45556 Indonesia,JAWA BARAT,KUNINGAN,CIGANDAMEKAR,masjid,4.3,0.764948
5,31174,Masjid Agung,BGE-M3,Masjid agung,Unnamed Road Bantarsari Kec Pabuaran Kabupaten Sukabumi Jawa Barat 43173 Indonesia,JAWA BARAT,SUKABUMI,PABUARAN,masjid,0.0,0.764948
6,62116,Masjid Agung,BGE-M3,Masjid agung,Cibentar Jatiwangi Majalengka Regency West Java 45454 Indonesia,JAWA BARAT,MAJALENGKA,JATIWANGI,masjid,0.0,0.76494795
7,54916,Masjid Agung,BGE-M3,MASJID AGUNG,Jl Masjid Cilimus Kec Cilimus Kabupaten Kuningan Jawa Barat 45556 Indonesia,JAWA BARAT,KUNINGAN,CILIMUS,masjid,4.3,0.76494795
8,51523,Masjid Agung,BGE-M3,Masjid Agung,Sindangrasa Ciamis Ciamis Regency West Java 46215 Indonesia,JAWA BARAT,CIAMIS,CIHAURBEUTI,masjid,4.8,0.76494795
9,51003,Masjid Agung,BGE-M3,Masjid Agung,Sindangrasa Ciamis Ciamis Regency West Java 46215 Indonesia,JAWA BARAT,CIAMIS,CIAMIS,masjid,4.8,0.76494795
10,50975,Masjid Agung,BGE-M3,Masjid Agung,Sukapancar Sukaresik Tasikmalaya Regency West Java 46418 Indonesia,JAWA BARAT,TASIKMALAYA,SUKARESIK,masjid,5.0,0.76494795
1,242416,Masjid Istiqlal,BGE-M3,Masjid istiqlal,Mosque · Jl Pandegiling No258,JAWA TIMUR,KOTA SURABAYA,TEGALSARI,masjid,4.8,0.8572131
2,169308,Masjid Istiqlal,BGE-M3,Masjid Istiqlal,Tempel Turi Kec Jetis Kabupaten Ponorogo Jawa Timur 63473 Indonesia,JAWA TIMUR,PONOROGO,JETIS,masjid,4.3,0.8572131
3,150489,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Jl Kahuripan Utara Raya Sumber Kec Banjarsari Kota Surakarta Jawa Tengah 57138 Indonesia,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,masjid,5.0,0.8572131
4,138439,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Dusun Wenoboyo Wonoboyo Dadapan Cemoro Kec Wonoboyo Kabupaten Temanggung Jawa Tengah 56266 Indonesia,JAWA TENGAH,TEMANGGUNG,WONOBOYO,masjid,0.0,0.8572131
5,128777,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Julu Tlogorejo Kec Winong Kabupaten Pati Jawa Tengah 59181 Indonesia,JAWA TENGAH,PATI,WINONG,masjid,48.0,0.8572131
