rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
1,140937,Masjid Agung,E5-Large,Masjid Besar, Area Sawah Bulu Kec Petarukan Kabupaten Pemalang Jawa Tengah 52362 Indonesia,JAWA TENGAH,PEMALANG,PETARUKAN,masjid,5.0,0.9280741
2,122925,Masjid Agung,E5-Large,Masjid Besar, Area Sawah Bulu Kec Petarukan Kabupaten Pemalang Jawa Tengah 52362 Indonesia,JAWA TENGAH,PEMALANG,PULOSARI,masjid,5.0,0.9280741
3,81927,Masjid Agung,E5-Large,Masjid Besar,Jl Cihanjuang Cihanjuang Rahayu Kec Parongpong Kabupaten Bandung Barat Jawa Barat 40513 Indonesia,JAWA BARAT,BANDUNG BARAT,PARONGPONG,masjid,4.7,0.9280741
4,65077,Masjid Agung,E5-Large,Masjid Besar,Cipacing Jatinangor Sumedang Regency West Java 45363 Indonesia,JAWA BARAT,SUMEDANG,JATINANGOR,masjid,0.0,0.9280741
5,42670,Masjid Agung,E5-Large,Masjid besar,Sukamaju Kersamanah Garut Regency West Java 44185 Indonesia,JAWA BARAT,GARUT,KERSAMANAH,masjid,0.0,0.9280741
6,39107,Masjid Agung,E5-Large,Masjid Besar,Bojongloa Rancaekek Bandung Regency West Java 40394 Indonesia,JAWA BARAT,BANDUNG,RANCAEKEK,masjid,5.0,0.9280741
7,32348,Masjid Agung,E5-Large,Masjid besar,Kp padalengsar kulon Bunikasih Kec Warungkondang Kabupaten Cianjur Jawa Barat 43261 Indonesia,JAWA BARAT,CIANJUR,WARUNGKONDANG,masjid,0.0,0.9280741
8,31962,Masjid Agung,E5-Large,Masjid Besar,JL Cibeureum Rambay Kec Tegal Buleud Kabupaten Sukabumi Jawa Barat 43186 Indonesia,JAWA BARAT,SUKABUMI,TEGALBULEUD,masjid,0.0,0.9280741
9,30456,Masjid Agung,E5-Large,Masjid Besar,Lembursitu Sukabumi Regency West Java 43169 Indonesia,JAWA BARAT,SUKABUMI,SUKABUMI,masjid,5.0,0.9280741
10,12292,Masjid Agung,E5-Large,masjid Besar,Suralaya Cilegon Banten Indonesia,BANTEN,KOTA CILEGON,PULOMERAK,masjid,3.0,0.9280741
1,242416,Masjid Istiqlal,E5-Large,Masjid istiqlal,Mosque · Jl Pandegiling No258,JAWA TIMUR,KOTA SURABAYA,TEGALSARI,masjid,4.8,0.9648217
2,169308,Masjid Istiqlal,E5-Large,Masjid Istiqlal,Tempel Turi Kec Jetis Kabupaten Ponorogo Jawa Timur 63473 Indonesia,JAWA TIMUR,PONOROGO,JETIS,masjid,4.3,0.9648217
3,150489,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Jl Kahuripan Utara Raya Sumber Kec Banjarsari Kota Surakarta Jawa Tengah 57138 Indonesia,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,masjid,5.0,0.9648217
4,138439,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Dusun Wenoboyo Wonoboyo Dadapan Cemoro Kec Wonoboyo Kabupaten Temanggung Jawa Tengah 56266 Indonesia,JAWA TENGAH,TEMANGGUNG,WONOBOYO,masjid,0.0,0.9648217
5,128777,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Julu Tlogorejo Kec Winong Kabupaten Pati Jawa Tengah 59181 Indonesia,JAWA TENGAH,PATI,WINONG,masjid,48.0,0.9648217
6,121197,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Sokoalas Soka Karangdowo Klaten Regency Central Java 57464 Indonesia,JAWA TENGAH,KLATEN,KARANGDOWO,masjid,46.0,0.9648217
7,116607,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Karangtengah Girirejo Kec Kaliangkrik Kabupaten Magelang Jawa Tengah 56153 Indonesia,JAWA TENGAH,MAGELANG,KALIANGKRIK,masjid,5.0,0.9648217
8,101749,Masjid Istiqlal,E5-Large,Masjid Istiqlal, Rejosari Kemiri Kec Mojosongo Kabupaten Boyolali Jawa Tengah 57482 Indonesia,JAWA TENGAH,BOYOLALI,MOJOSONGO,masjid,5.0,0.9648217
9,130146,Masjid Istiqlal,E5-Large,Masjid Al-Istiqlal,Kerjasan Pejaten Kudus Regency Central Java Indonesia,JAWA TENGAH,KUDUS,KOTA KUDUS,masjid,47.0,0.9474888
10,86655,Masjid Istiqlal,E5-Large,Masjid Al Istiqlal,Sekeloa Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,COBLONG,masjid,4.7,0.9474888
1,38322,Masjid Raya Bandung,E5-Large,Masjid Agung Raya Bandung,Ancolmekar Arjasari Bandung Regency West Java 40379 Indonesia,JAWA BARAT,BANDUNG,ARJASARI,masjid,4.5,0.9121357
2,236681,Masjid Raya Bandung,E5-Large,Masjid Raya,Jl Raya Kecodur Kedundung Maeran Daleman Kec Kedungdung Kabupaten Sampang Jawa Timur 69252 Indonesia,JAWA TIMUR,SAMPANG,KEDUNGDUNG,masjid,4.5,0.9059833
3,181772,Masjid Raya Bandung,E5-Large,Masjid Raya,Kepung Kediri Regency East Java Indonesia,JAWA TIMUR,KEDIRI,KEPUNG,masjid,5.0,0.9059833
4,89572,Masjid Raya Bandung,E5-Large,Masjid Raya,Pasirwangi Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,UJUNGBERUNG,masjid,4.7,0.9059833
5,85667,Masjid Raya Bandung,E5-Large,Masjid Raya Bogor,Baranangsiang Bogor City West Java Indonesia,JAWA BARAT,KOTA BOGOR,BOGOR TIMUR,masjid,4.0,0.9006818
6,236734,Masjid Raya Bandung,E5-Large,Masjid Bandung,Bandung Tambelangan Kec Tambelangan Kabupaten Sampang Jawa Timur 69253 Indonesia,JAWA TIMUR,SAMPANG,TAMBELANGAN,masjid,5.0,0.898249
