rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
1,139036,Masjid Agung,MPNet,Masjid Agung Demak,Bintoro Demak Regency Central Java Indonesia,JAWA TENGAH,DEMAK,KARANGTENGAH,masjid,47.0,0.97783303
2,132690,Masjid Agung,MPNet,Masjid Agung Demak,Bintoro Demak Regency Central Java Indonesia,JAWA TENGAH,DEMAK,BONANG,masjid,47.0,0.977833
3,117363,Masjid Agung,MPNet,Masjid Agung Demak,Bintoro Demak Regency Central Java Indonesia,JAWA TENGAH,DEMAK,MRANGGEN,masjid,47.0,0.977833
4,109964,Masjid Agung,MPNet,Masjid Agung Penajung, Jaganayan Surotrunan Kec Alian Kabupaten Kebumen Jawa Tengah 54352 Indonesia,JAWA TENGAH,KEBUMEN,ALIAN,masjid,47.0,0.977654
5,62116,Masjid Agung,MPNet,Masjid agung,Cibentar Jatiwangi Majalengka Regency West Java 45454 Indonesia,JAWA BARAT,MAJALENGKA,JATIWANGI,masjid,0.0,0.9772501
6,56290,Masjid Agung,MPNet,MASJID AGUNG,Jl Masjid Cilimus Kec Cilimus Kabupaten Kuningan Jawa Barat 45556 Indonesia,JAWA BARAT,KUNINGAN,CIGANDAMEKAR,masjid,4.3,0.9772501
7,54916,Masjid Agung,MPNet,MASJID AGUNG,Jl Masjid Cilimus Kec Cilimus Kabupaten Kuningan Jawa Barat 45556 Indonesia,JAWA BARAT,KUNINGAN,CILIMUS,masjid,4.3,0.9772501
8,51523,Masjid Agung,MPNet,Masjid Agung,Sindangrasa Ciamis Ciamis Regency West Java 46215 Indonesia,JAWA BARAT,CIAMIS,CIHAURBEUTI,masjid,4.8,0.9772501
9,51003,Masjid Agung,MPNet,Masjid Agung,Sindangrasa Ciamis Ciamis Regency West Java 46215 Indonesia,JAWA BARAT,CIAMIS,CIAMIS,masjid,4.8,0.9772501
10,50975,Masjid Agung,MPNet,Masjid Agung,Sukapancar Sukaresik Tasikmalaya Regency West Java 46418 Indonesia,JAWA BARAT,TASIKMALAYA,SUKARESIK,masjid,5.0,0.9772501
1,242416,Masjid Istiqlal,MPNet,Masjid istiqlal,Mosque · Jl Pandegiling No258,JAWA TIMUR,KOTA SURABAYA,TEGALSARI,masjid,4.8,0.9921607
