rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
1,19903,Masjid Agung,MiniLM,Al-Mabrur Grand Mosque,Pinang Ranti East Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASAR,masjid,4.7,0.91193074
2,84110,Masjid Agung,MiniLM,Parigi Grand Mosque,Parigi Pangandaran Regency West Java 46393 Indonesia,JAWA BARAT,PANGANDARAN,PARIGI,masjid,4.4,0.91034
3,110664,Masjid Agung,MiniLM,Grand Mosque,Jumo Grobogan Regency Central Java Indonesia,JAWA TENGAH,GROBOGAN,KEDUNGJATI,masjid,45.0,0.9092992
4,124759,Masjid Agung,MiniLM,Masjid legendaris, Batuwarno Kec Batuwarno Kabupaten Wonogiri Jawa Tengah 57674 Indonesia,JAWA TENGAH,WONOGIRI,BATUWARNO,masjid,0.0,0.905693
5,211871,Masjid Agung,MiniLM,Baitul Mukhlasin Mosque,Ngambeh Ngembeh Kec Dlanggu Kabupaten Mojokerto Jawa Timur 61371 Indonesia,JAWA TIMUR,MOJOKERTO,DLANGGU,masjid,4.3,0.90286326
6,94705,Masjid Agung,MiniLM,Grand Mosque Randegan,Raharja Banjar City West Java Indonesia,JAWA BARAT,KOTA BANJAR,PURWAHARJA,masjid,4.7,0.9021025
7,185792,Masjid Agung,MiniLM,Baitul Malik Mosque,Cepokomulyo Malang Regency East Java Indonesia,JAWA TIMUR,MALANG,KEPANJEN,masjid,4.7,0.89982486
8,185060,Masjid Agung,MiniLM,Baitul Malik Mosque,Jl Raya Tumpuk Renteng Desa Krajan Tumpukrenteng Kec Turen Kabupaten Malang Jawa Timur 65175 Indonesia,JAWA TIMUR,MALANG,TUREN,masjid,4.0,0.89982486
9,19386,Masjid Agung,MiniLM,Baitul Hakim Mosque,Mosque ·  · Jalan Cakra Wijaya V Blok Q Jl Cakra Wijaya VIIC No11 RT6/RW12,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,masjid,4.8,0.89950216
10,19255,Masjid Agung,MiniLM,Baitul Hakim Mosque,Mosque ·  · Jalan Cakra Wijaya V Blok Q Jl Cakra Wijaya VIIC No11 RT6/RW12,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,masjid,4.8,0.89950216
1,169308,Masjid Istiqlal,MiniLM,Masjid Istiqlal,Tempel Turi Kec Jetis Kabupaten Ponorogo Jawa Timur 63473 Indonesia,JAWA TIMUR,PONOROGO,JETIS,masjid,4.3,0.9446125
2,150489,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Jl Kahuripan Utara Raya Sumber Kec Banjarsari Kota Surakarta Jawa Tengah 57138 Indonesia,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,masjid,5.0,0.9446125
3,128777,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Julu Tlogorejo Kec Winong Kabupaten Pati Jawa Tengah 59181 Indonesia,JAWA TENGAH,PATI,WINONG,masjid,48.0,0.9446125
4,242416,Masjid Istiqlal,MiniLM,Masjid istiqlal,Mosque · Jl Pandegiling No258,JAWA TIMUR,KOTA SURABAYA,TEGALSARI,masjid,4.8,0.94461244
5,138439,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Dusun Wenoboyo Wonoboyo Dadapan Cemoro Kec Wonoboyo Kabupaten Temanggung Jawa Tengah 56266 Indonesia,JAWA TENGAH,TEMANGGUNG,WONOBOYO,masjid,0.0,0.94461244
6,121197,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Sokoalas Soka Karangdowo Klaten Regency Central Java 57464 Indonesia,JAWA TENGAH,KLATEN,KARANGDOWO,masjid,46.0,0.94461244
7,116607,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Karangtengah Girirejo Kec Kaliangkrik Kabupaten Magelang Jawa Tengah 56153 Indonesia,JAWA TENGAH,MAGELANG,KALIANGKRIK,masjid,5.0,0.94461244
8,101749,Masjid Istiqlal,MiniLM,Masjid Istiqlal, Rejosari Kemiri Kec Mojosongo Kabupaten Boyolali Jawa Tengah 57482 Indonesia,JAWA TENGAH,BOYOLALI,MOJOSONGO,masjid,5.0,0.94461244
9,14380,Masjid Istiqlal,MiniLM,Istiqlal Mosque,Pasar Baru Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,4.8,0.9322577
10,14298,Masjid Istiqlal,MiniLM,Istiqlal Mosque,Pasar Baru Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,masjid,4.8,0.9322577
1,82066,Masjid Raya Bandung,MiniLM,KUBAH MASJID BANDUNG,Jambudipa West Bandung Regency West Java Indonesia,JAWA BARAT,BANDUNG BARAT,CISARUA,masjid,0.0,0.9134842
2,87201,Masjid Raya Bandung,MiniLM,Grand Mosque of Bandung,Balonggede Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,CICENDO,masjid,4.6,0.9104097
3,87342,Masjid Raya Bandung,MiniLM,Grand Mosque of Bandung,Balonggede Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,SUKAJADI,masjid,4.6,0.91040957
4,87038,Masjid Raya Bandung,MiniLM,Grand Mosque of Bandung,Balonggede Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,ANDIR,masjid,4.6,0.91040957
5,236734,Masjid Raya Bandung,MiniLM,Masjid Bandung,Bandung Tambelangan Kec Tambelangan Kabupaten Sampang Jawa Timur 69253 Indonesia,JAWA TIMUR,SAMPANG,TAMBELANGAN,masjid,5.0,0.9059492
6,89022,Masjid Raya Bandung,MiniLM,Masjid bandung,Cijaura Buahbatu Bandung City West Java 40287 Indonesia,JAWA BARAT,KOTA BANDUNG,BUAHBATU,masjid,5.0,0.9059492
7,87590,Masjid Raya Bandung,MiniLM,Masjid bandung,Citarum Bandung Wetan Bandung City West Java 40115 Indonesia,JAWA BARAT,KOTA BANDUNG,BANDUNG WETAN,masjid,5.0,0.9059491
8,50324,Masjid Raya Bandung,MiniLM,Masjid Jami Panunggal,Kudadepa Sukahening Tasikmalaya Regency West Java 46155 Indonesia,JAWA BARAT,TASIKMALAYA,SUKAHENING,masjid,4.3,0.898594
9,62568,Masjid Raya Bandung,MiniLM,Nurulzanah Mosque,Mekarjaya Kertajati Majalengka Regency West Java 45457 Indonesia,JAWA BARAT,MAJALENGKA,KERTAJATI,masjid,4.7,0.8959401
10,165167,Masjid Raya Bandung,MiniLM,Masjid Margotunggal(ꦩꦱ꧀ꦗꦶꦣ꧀), Jl Masjid Ngentak Caturtunggal Kec Depok Kabupaten Sleman Daerah Istimewa Yogyakarta 55281 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,DEPOK,masjid,47.0,0.89403445
1,82858,Masjid Al Ikhlas,MiniLM,Masjid Al-Aghnia,Laksanamekar Padalarang West Bandung Regency West Java 40553 Indonesia,JAWA BARAT,BANDUNG BARAT,PADALARANG,masjid,4.6,0.95572275
2,2871,Masjid Al Ikhlas,MiniLM,Masjid al ikahlas,Cisampang Gunungkencana Lebak Regency Banten 42354 Indonesia,BANTEN,LEBAK,GUNUNGKENCANA,masjid,0.0,0.9540868
3,43732,Masjid Al Ikhlas,MiniLM,Masjid Al-Ikhlsa,Kp kudang Sukaresmi Kec Sukaresmi Kabupaten Garut Jawa Barat 44163 Indonesia,JAWA BARAT,GARUT,SUKARESMI,masjid,4.4,0.9526333
4,40917,Masjid Al Ikhlas,MiniLM,Al Inayah Bunisari Mosque,Padasuka Bandung Regency West Java Indonesia,JAWA BARAT,BANDUNG,KUTAWARINGIN,masjid,4.8,0.9493885
5,89355,Masjid Al Ikhlas,MiniLM,Jami Al-Istianah Mosque,Mosque · Jl AH Nasution No02,JAWA BARAT,KOTA BANDUNG,CIBIRU,masjid,4.3,0.9482895
6,6920,Masjid Al Ikhlas,MiniLM,Masjid Al Akhilla,Panongan Tangerang Regency Banten 15710 Indonesia,BANTEN,TANGERANG,PANONGAN,masjid,5.0,0.94818836
7,35673,Masjid Al Ikhlas,MiniLM,Al-Inayah Mosque,Padaluyu Cikadu Cianjur Regency West Java 43284 Indonesia,JAWA BARAT,CIANJUR,CIKADU,masjid,4.7,0.946423
8,24412,Masjid Al Ikhlas,MiniLM,Masjid Al - Istikroom,Sukamaju Cigudeg Bogor Regency West Java 16660 Indonesia,JAWA BARAT,BOGOR,CIGUDEG,masjid,5.0,0.94572234
9,151215,Masjid Al Ikhlas,MiniLM,Masjid Al - Akhfa,Mosque ·  Jl St RT04/RW06,JAWA TENGAH,CILACAP,KESUGIHAN,masjid,44.0,0.9455273
10,88709,Masjid Al Ikhlas,MiniLM,Masjid Al Istiharu,Babakanciamis Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,SUMUR BANDUNG,masjid,0.0,0.9447341
1,85684,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Jl Sukamulya Gg Wargamulya RT02/RW3 Sukasari Kec Bogor Tim Kota Bogor Jawa Barat 16142 Indonesia,JAWA BARAT,KOTA BOGOR,BOGOR TIMUR,masjid,0.0,0.9415439
2,239140,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,none,JAWA TIMUR,SUMENEP,AMBUNTEN,masjid,4.6,0.9415438
3,239113,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Campor Campor Bar Kec Ambunten Kabupaten Sumenep Jawa Timur 69455 Indonesia,JAWA TIMUR,SUMENEP,AMBUNTEN,masjid,4.6,0.9415438
4,228730,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Wonorejo Ponco Suciharjo Kec Parengan Kabupaten Tuban Jawa Timur 62366 Indonesia,JAWA TIMUR,TUBAN,PARENGAN,masjid,5.0,0.9415438
5,195167,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Jl Jambu Krajan Jemberlor Kec Patrang Kabupaten Jember Jawa Timur 68118 Indonesia,JAWA TIMUR,JEMBER,PATRANG,masjid,5.0,0.9415438
6,77993,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Mosque · Perumahan Taman Edelwis Jl Anggrek 3 No12 Blok B4,JAWA BARAT,BEKASI,TAMBUN UTARA,masjid,4.7,0.9415438
7,75933,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,none,JAWA BARAT,KARAWANG,LEMAHABANG,masjid,4.6,0.9415438
8,45575,Masjid Nurul Huda,MiniLM,Masjid nurul husna,Unnamed Road Cimahi Caringin Garut Regency West Java 44166 Indonesia,JAWA BARAT,GARUT,CARINGIN,masjid,5.0,0.9415438
9,17045,Masjid Nurul Huda,MiniLM,Masjid Nurul Husna,Tegal Alur West Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,masjid,0.0,0.9415438
10,85690,Masjid Nurul Huda,MiniLM,Masjid Jami Nurul husna,WargaMulya RT2 RW3/RW02 Sukasari Kec Bogor Tim Kota Bogor Jawa Barat 16142 Indonesia,JAWA BARAT,KOTA BOGOR,BOGOR TIMUR,masjid,0.0,0.93536115
